Title,Media URL,Pinterest board,Description,Link
Bloodhound Dad Nurse Educator Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96910f5e8582a730a109b/18542/102044/bloodhound-dad-nurse-educator-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Bloodhound Dads who are also Nurse Educators. The perfect gift for a nurse educator who loves his dog.",https://pawsandscrubs.printify.me/product/32004263
Akita Mom Wound Care Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96929d285951ee80019c6/18102/102044/akita-mom-wound-care-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Akita Moms who are also Wound Care Nurses. The perfect gift for a wound care nurse who loves her dog.",
Samoyed Dad Telemetry Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa9694217514dc73e0c951c/18542/102044/samoyed-dad-telemetry-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Samoyed Dads who are also Telemetry Nurses. The perfect gift for a telemetry nurse who loves his dog.",https://pawsandscrubs.printify.me/product/32004294
Malamute Mom Infusion Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa9695a30c34efba50e5246/18102/102044/malamute-mom-infusion-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Malamute Moms who are also Infusion Nurses. The perfect gift for a infusion nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004304
Papillon Dad Occupational Health Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa9697130c34efba50e525e/18542/102044/papillon-dad-occupational-health-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Papillon Dads who are also Occupational Health Nurses. The perfect gift for a occupational health nurse who loves his dog.",https://pawsandscrubs.printify.me/product/32004312
Havanese Mom Nurse Manager Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96988f6af14e17e06db58/18102/102044/havanese-mom-nurse-manager-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Havanese Moms who are also Nurse Managers. The perfect gift for a nurse manager who loves her dog.",
Bichon Frise Dad Ambulatory Care Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa969a16b9e0a45440d6e01/18542/102044/bichon-frise-dad-ambulatory-care-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Bichon Frise Dads who are also Ambulatory Care Nurses. The perfect gift for a ambulatory care nurse who loves his dog.",https://pawsandscrubs.printify.me/product/32004335
Maltese Mom Correctional Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa969bcd35fa65f7209235e/18102/102044/maltese-mom-correctional-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Maltese Moms who are also Correctional Nurses. The perfect gift for a correctional nurse who loves her dog.",
Pug Dad Labor Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa969d26b9e0a45440d6e19/18542/102044/pug-dad-labor-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Pug Dads who are also Labor Nurses. The perfect gift for a labor nurse who loves his dog.",https://pawsandscrubs.printify.me/product/32004352
English Bulldog Mom Neonatal Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa969ed2d4608f3cf0e3ac8/18102/102044/english-bulldog-mom-neonatal-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for English Bulldog Moms who are also Neonatal Nurses. The perfect gift for a neonatal nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004362
Rhodesian Ridgeback Dad Nurse Life Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96a06f9451621a10a2a85/18542/102044/rhodesian-ridgeback-dad-nurse-life-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Rhodesian Ridgeback Dads who are also Nurse Lifes. The perfect gift for a nurse life who loves his dog.",https://pawsandscrubs.printify.me/product/32004369
Chow Chow Mom ICU Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96a1c30c34efba50e52a8/18102/102044/chow-chow-mom-icu-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Chow Chow Moms who are also ICU Nurses. The perfect gift for a icu nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004371
